"","x"
"11","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"12","RT @only598185: 흉측한 정치꾼들<U+0001F479>

처음 아프리카 돼지열병에
이낙연총리께서 밤낮없이
방역에 전념하실때는
수수방관 아몰랑이던
정치꾼들이 이제와서
돼지탈쓰고 돼지팔이.
 역겹다!!!!!

문희상·이해찬·이재명, 국회서 '분홍색 돼지인형' 쓴…"
"13","RT @moonsoonc: 우리 돼지, 맘껏 드셔주십시오! 아프리카 돼지열병은 인체감염이 없기 때문에 섭취는 전혀 걱정하지 않으셔도 됩니다.주 1회 이상 도청구내식당 한돈먹는날, 지역농·축협 할인판매 등을 추진해 소비촉진에 힘을 보탤 예정입니다. 오…"
"14","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"15","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"16","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"17","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"18","RT @hwaga_story: <U+0001F5E3> 경기도 돼지 살처분 문제!!!

<U+2022>이명박 - 산채로 매몰 (구제역)

<U+2022>경기도 - 죽여서 매몰 (아프리카 열병)

전염성 동식물은 그대로 매장하거나 소각해야 한다.

돼지 사체 피...
강물 유입→어패류 흡입→사람…"
"19","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"20","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"21","RT @damby2: @thundel 칠레인가?거기는 50원 인상됐다고 난리가 났는데.경기도민들 착하네.이재명 도지사되고 한일이라고 자기광고하는데 수백억쓰고 도민한테 관사 뺏어서 수억들여 초호화관사 만든거뿐인데.고양난방수사고 아프리카돼지열병 버스비인…"
"22","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"23","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"24","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"25","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"26","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"27","RT @pmgag: 돼지열병 확진 농가는 살처분 해도 5년간 사육 금지임.그럼 강은 임진강은 ? 진짜 미친 새끼 하나 때문에 ㅠㅠ대법원 부탁 합니다.법 대로 가능 하다면 법정구속 해주세요.악마같은 새끼를.."
"28","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"29","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"30","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"31","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"32","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"33","RT @hwaga_story: <U+0001F631><U+0001F631><U+0001F631>

미치겠다...호러놀이 하냐?

이게 정상이냐??

이거 보면 돼지고기 먹고 싶겠냐???

돼지 열병 피해 주민들 놀리는 것도 아니고 웃음이 쳐나오냐???? https://t.co/CamvIPxE1l"
"34","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"35","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"36","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"37","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"38","RT @pmgag: 돼지열병 확진 농가는 살처분 해도 5년간 사육 금지임.그럼 강은 임진강은 ? 진짜 미친 새끼 하나 때문에 ㅠㅠ대법원 부탁 합니다.법 대로 가능 하다면 법정구속 해주세요.악마같은 새끼를.."
"39","RT @pmgag: 돼지열병 확진 농가는 살처분 해도 5년간 사육 금지임.그럼 강은 임진강은 ? 진짜 미친 새끼 하나 때문에 ㅠㅠ대법원 부탁 합니다.법 대로 가능 하다면 법정구속 해주세요.악마같은 새끼를.."
"40","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"41","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"42","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"43","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"44","RT @pmgag: 돼지열병 확진 농가는 살처분 해도 5년간 사육 금지임.그럼 강은 임진강은 ? 진짜 미친 새끼 하나 때문에 ㅠㅠ대법원 부탁 합니다.법 대로 가능 하다면 법정구속 해주세요.악마같은 새끼를.."
"45","RT @mafrakorea: #사실은이렇습니다
포획 멧돼지를 자가소비하는 수렵인을 포획 활동에서 제외함으로써, 현장에서 자가소비 금지조치가 이행되도록 관리하겠습니다.
11.13 &lt;돼지열병 차단하려 잡은 야생멧돼지 70% 식용으로 자가소비&gt; 보도에 대…"
"46","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"47","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"48","RT @son5959: 돼지열병 발생부터 사후처리 과정을 보면 이재명은 행정가로서는 능력이 빵점이다.
일 잘한다는 새끼들 전부 니들 손가락으로 니들 눈 찔러라,"
"49","돼지열병에 신음하는데..""대박 났다"" 환호한 사람들 | 다음뉴스 https://t.co/x7BJlaLEYd"
"50","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"51","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"52","RT @mafrakorea: #사실은이렇습니다
포획 멧돼지를 자가소비하는 수렵인을 포획 활동에서 제외함으로써, 현장에서 자가소비 금지조치가 이행되도록 관리하겠습니다.
11.13 &lt;돼지열병 차단하려 잡은 야생멧돼지 70% 식용으로 자가소비&gt; 보도에 대…"
"53","RT @son5959: 돼지열병 발생부터 사후처리 과정을 보면 이재명은 행정가로서는 능력이 빵점이다.
일 잘한다는 새끼들 전부 니들 손가락으로 니들 눈 찔러라,"
"54","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"55","RT @wineglass33: 그 돼지 왜 죽었는지 알면 이런 글 지껄일 수 없을텐데?
국민은 양심이 없니?
북 돼지열병 문제없다 방관한게 누구니?
문재인과 그 수하들 아니니?
어처구니가 없다. https://t.co/xhDkwdIIUG"
"56","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"57","RT @son5959: 돼지열병 발생부터 사후처리 과정을 보면 이재명은 행정가로서는 능력이 빵점이다.
일 잘한다는 새끼들 전부 니들 손가락으로 니들 눈 찔러라,"
"58","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"59","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"60","RT @mafrakorea: #사실은이렇습니다
포획 멧돼지를 자가소비하는 수렵인을 포획 활동에서 제외함으로써, 현장에서 자가소비 금지조치가 이행되도록 관리하겠습니다.
11.13 &lt;돼지열병 차단하려 잡은 야생멧돼지 70% 식용으로 자가소비&gt; 보도에 대…"
"61","RT @pmgag: 돼지열병 확진 농가는 살처분 해도 5년간 사육 금지임.그럼 강은 임진강은 ? 진짜 미친 새끼 하나 때문에 ㅠㅠ대법원 부탁 합니다.법 대로 가능 하다면 법정구속 해주세요.악마같은 새끼를.."
"62","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"63","RT @son5959: 돼지열병 발생부터 사후처리 과정을 보면 이재명은 행정가로서는 능력이 빵점이다.
일 잘한다는 새끼들 전부 니들 손가락으로 니들 눈 찔러라,"
"64","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"65","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"66","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"67","RT @happy_CSR: 이낙연 총리님 고군분투하실 땐 내 일 아니라는 듯 뒷짐 지고 있다가 이제 와 '아프리카돼지열병으로 어려움을 겪고 있는 양돈농가에 힘을 불어넣기 위해 1일 한돈 홍보대사로 변신'? 정치고 행정이고 할 그릇도 안 되면서 보여주…"
"68","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"69","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"70","RT @hwaga_story: <U+0001F5E3> 경기도 돼지 살처분 문제!!!

<U+2022>이명박 - 산채로 매몰 (구제역)

<U+2022>경기도 - 죽여서 매몰 (아프리카 열병)

전염성 동식물은 그대로 매장하거나 소각해야 한다.

돼지 사체 피...
강물 유입→어패류 흡입→사람…"
"71","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"72","RT @omcsB6IJAoX4cLx: @lalapesto 이낙연총리가 돼지열병 해결하느라 개고생은 다해서 경기도지사 겸 총리님으로 등극!!
경기도 연천은 돼지열병걸린 돼지들 살처분으로 온천지가 핏물이거늘...
이것들은 희희낙낙!! 
돼지열병걸려서 살…"
"73","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"74","RT @ineedacat1: 돼지열병 방역 모범 국가에서 돼지열병 돼지피로 강물을 오염시킨 최고 무능한 국가로 국제적으로 소문남.
이게 이재명의 대단한 능력임."
"75","RT @moonsoonc: 우리 돼지, 맘껏 드셔주십시오! 아프리카 돼지열병은 인체감염이 없기 때문에 섭취는 전혀 걱정하지 않으셔도 됩니다.주 1회 이상 도청구내식당 한돈먹는날, 지역농·축협 할인판매 등을 추진해 소비촉진에 힘을 보탤 예정입니다. 오…"
"76","아 이거 돼지열병땜에 밀렸던거네요 https://t.co/SRDRxuPlG9"
"77","RT @moonsoonc: 우리 돼지, 맘껏 드셔주십시오! 아프리카 돼지열병은 인체감염이 없기 때문에 섭취는 전혀 걱정하지 않으셔도 됩니다.주 1회 이상 도청구내식당 한돈먹는날, 지역농·축협 할인판매 등을 추진해 소비촉진에 힘을 보탤 예정입니다. 오…"
"78","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"79","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"80","RT @ineedacat1: 돼지열병 방역 모범 국가에서 돼지열병 돼지피로 강물을 오염시킨 최고 무능한 국가로 국제적으로 소문남.
이게 이재명의 대단한 능력임."
"81","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"82","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"83","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"84","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"85","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"86","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"87","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"88","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"89","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"90","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"91","RT @hwaga_story: <U+0001F5E3> 경기도 돼지 살처분 문제!!!

<U+2022>이명박 - 산채로 매몰 (구제역)

<U+2022>경기도 - 죽여서 매몰 (아프리카 열병)

전염성 동식물은 그대로 매장하거나 소각해야 한다.

돼지 사체 피...
강물 유입→어패류 흡입→사람…"
"92","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"93","RT @Naridy: 돼지열병에 신음하는데..""대박 났다"" 환호한 사람들 | 다음뉴스 https://t.co/dSMyv5Q8Gc"
"94","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"95","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"96","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"97","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"98","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"99","RT @son5959: 돼지열병 발생부터 사후처리 과정을 보면 이재명은 행정가로서는 능력이 빵점이다.
일 잘한다는 새끼들 전부 니들 손가락으로 니들 눈 찔러라,"
"100","RT @kaos10000: 저렇게나 좋을까? 꿀이 뚝뚝 떨어지다 못해 흘러내릴 지경. 아프리카돼지열병 월남 멧돼지 차단 등 현장 검검 이낙연 총리 일정들 부지사 나타나 사실상 쌩까버리고 이 총리가 경기도 안이한 자세 질책. 결국 경기도에서 시작된 사…"
"101","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"102","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"103","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"104","RT @mafrakorea: #사실은이렇습니다
포획 멧돼지를 자가소비하는 수렵인을 포획 활동에서 제외함으로써, 현장에서 자가소비 금지조치가 이행되도록 관리하겠습니다.
11.13 &lt;돼지열병 차단하려 잡은 야생멧돼지 70% 식용으로 자가소비&gt; 보도에 대…"
"105","RT @omcsB6IJAoX4cLx: @angelesyogi @mh12151108 이낙연총리가 돼지열병 해결하느라 개고생은 다해서 경기도지사 겸 총리님으로 등극!!
경기도 연천은 돼지열병걸린 돼지들 살처분으로 온천지가 핏물이거늘...
이것들은 희희낙…"
"106","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"107","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"108","RT @son5959: 시도지사 중 돼지열병을 유일하게 못 막아 돼지 수십만마리나 살처분 한 경기지사 이재명이 자신의 과오를 돼지 홍보 행사로 더러운 이미지 변신을 하는 행사에 집권여당 대표와 국회의장이 빤스를 내렸네,  
이런 식의 행정 정치 너무…"
"109","RT @mafrakorea: #사실은이렇습니다
포획 멧돼지를 자가소비하는 수렵인을 포획 활동에서 제외함으로써, 현장에서 자가소비 금지조치가 이행되도록 관리하겠습니다.
11.13 &lt;돼지열병 차단하려 잡은 야생멧돼지 70% 식용으로 자가소비&gt; 보도에 대…"
"110","RT @ineedacat1: 돼지열병 방역 모범 국가에서 돼지열병 돼지피로 강물을 오염시킨 최고 무능한 국가로 국제적으로 소문남.
이게 이재명의 대단한 능력임."
"111","#사실은이렇습니다
포획 멧돼지를 자가소비하는 수렵인을 포획 활동에서 제외함으로써, 현장에서 자가소비 금지조치가 이행되도록 관리하겠습니다.
11.13 &lt;돼지열병 차단하려 잡은 야생멧돼지 70% 식용으로 자가소… https://t.co/nwgcUQpfpp"
"112","RT @djkim8688: 온갖 일은 경기도에서 다 일어나는구나
돼지열병, 침출수, 버스비인상,상품권발행,무상급식 예산미확보 등등등. 역시 인성이 그르면 일도 잘할수 없다니까."
"113","RT @Naridy: 돼지열병에 신음하는데..""대박 났다"" 환호한 사람들 | 다음뉴스 https://t.co/dSMyv5Q8Gc"
"114","RT @son5959: 시도지사 중 돼지열병을 유일하게 못 막아 돼지 수십만마리나 살처분 한 경기지사 이재명이 자신의 과오를 돼지 홍보 행사로 더러운 이미지 변신을 하는 행사에 집권여당 대표와 국회의장이 빤스를 내렸네,  
이런 식의 행정 정치 너무…"
"115","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"116","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
